FUND_NAME,DEVISE_FONDS,PORTFOLIO_IK_PASSIF,SECURITY_ISIN,SECURITY_ID,SECURITY_NAME,DEVISE_PART,PORTEFEUILLE_HEDGE,DATE_DAYS,DATE_LIVE,DATE_CLOTURE,FX_RATE_PROFILE,Benchmark1 Code,Benchmark1 Name
Edmond de Rothschild Fund Euro High Yield,EUR,18495,LU1218422209,EDRSACH LX,EdR Fund Euro High Yield A - CHF,CHF,Pas de hedge,2016-03-09,2016-03-10,2022-03-04,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18494,LU1160363633,EDRSEHA LX,EdR Fund Euro High Yield A - EUR,EUR,Pas de hedge,1997-02-14,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18497,LU1160363476,EDRSUAH LX,EdR Fund Euro High Yield A - USD (H),USD,Hedge,2014-05-26,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY_U,100% ICE BofA BB-B Euro Non-Financial HY Const HUSD 
Edmond de Rothschild Fund Euro High Yield,EUR,18498,LU1160363047,EDRSEHB LX,EdR Fund Euro High Yield B - EUR,EUR,Pas de hedge,2012-05-09,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,45519,LU1781816373,EDEHCRE LX,EdR Fund Euro High Yield CR - EUR,EUR,Pas de hedge,2018-04-03,2018-04-04,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,28006,LU1400356025,EDRSICH LX,EdR Fund Euro High Yield I - CHF (H),CHF,Hedge,2016-05-18,2016-05-19,,FIXING 16H,BI_NI_EDR-SIGN-HY_C,100% ICE BofA BB-B Euro Non-Financial HY Const HCHF 
Edmond de Rothschild Fund Euro High Yield,EUR,18502,LU1160362742,EDRSEHI LX,EdR Fund Euro High Yield I - EUR,EUR,Pas de hedge,2010-01-29,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18506,LU1160364797,EDRSEHJ LX,EdR Fund Euro High Yield J - EUR,EUR,Pas de hedge,2010-10-07,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,62593,LU1564424882,EDEHYKE LX,EdR Fund Euro High Yield K - EUR,EUR,Pas de hedge,2020-12-10,2020-12-11,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18510,LU1160364441,EDRSEHN LX,EdR Fund Euro High Yield N - EUR,EUR,Pas de hedge,2010-06-17,2015-07-03,2024-03-07,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18514,LU1160364102,EDRSEHO LX,EdR Fund Euro High Yield O - EUR,EUR,Pas de hedge,2012-05-25,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18518,LU1160363989,EDRSEHR LX,EdR Fund Euro High Yield R - EUR,EUR,Pas de hedge,2012-02-10,2015-07-03,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
