Segment_Type,Share Type,Currency,Profile,Business Country (Business Relationship) (Business Relationship),Net Inflows MTD (€),Net Inflows YTD (€),AUM (€)
Insurance,A,EUR,A - EUR,FRANCE,52339547,397294288,1680007670.0
Bank,I,EUR,I - EUR,ITALY,10094360,105702770,272852720.0
Insurance,R,EUR,R - EUR,FRANCE,9632129,49992374,114912492.0
Bank,B,EUR,B - EUR,MONACO,4454955,3540786,127840214.0
AM company,I,EUR,I - EUR,WORLD,3692516,45036025,280932101.0
AM company,I,EUR,I - EUR,FRANCE,3050786,49077766,95222534.0
Bank,A,EUR,A - EUR,FRANCE,1928452,14959815,273768331.0
Bank,A,EUR,A - EUR,LUXEMBOURG,1262236,-3736007,127757751.0
Bank,I,EUR,I - EUR,FRANCE,1129565,5926956,9416725.0
Other,I,EUR,I - EUR,FRANCE,1095166,7198364,12504384.0
Insurance,A,EUR,A - EUR,LUXEMBOURG,723333,5426324,60290020.0
AM company,I,EUR,I - EUR,ITALY,546010,4138862,9389420.0
AM company,CR,EUR,CR - EUR,WORLD,406596,6212492,12577668.0
Insurance,I,EUR,I - EUR,FRANCE,377315,-1547235,3216580.0
AM company,I,EUR,I - EUR,LUXEMBOURG,321226,16147588,104655444.0
Bank,I,EUR,I - EUR,AUSTRIA,303072,10012257,10765774.0
Bank,CR,EUR,CR - EUR,FRANCE,153169,168484,3587148.0
Bank,O,EUR,O - EUR,LUXEMBOURG,116098,348294,346430.0
Financial Advisor,A,EUR,A - EUR,ITALY,48999,-191133,4767265.0
AM company,K,EUR,K - EUR,WORLD,44064,-15559631,174926565.0
Single Family Office,A,EUR,A - EUR,SWITZERLAND,39870,239220,1486459.0
Insurance,I,EUR,I - EUR,LUXEMBOURG,11511,-2773901,5176626.0
Bank,A,EUR,A - EUR,SPAIN,7876,-490442,456761.0
Financial Advisor,A,EUR,A - EUR,FRANCE,5258,-30060,781802.0
AM company,A,EUR,A - EUR,WORLD,5104,962658,24131505.0
Bank,K,EUR,K - EUR,LUXEMBOURG,4947,14841,15142.0
Bank,J,EUR,J - EUR,LUXEMBOURG,4861,-230413,454588.0
Bank,B,EUR,B - EUR,LUXEMBOURG,231,-65087,-29708.0
Bank,B,EUR,B - EUR,GERMANY,3,-112030,9992.0
Bank,R,EUR,R - EUR,MONACO,0,-536052,0.0
Bank,J,EUR,J - EUR,SWITZERLAND,0,-503516,0.0
Bank,R,EUR,R - EUR,GERMANY,0,0,197397.0
Bank,A,EUR,A - EUR,GERMANY,0,1492,0.0
Bank,B,EUR,B - EUR,BELGIUM,0,-67152,0.0
