FUND_NAME,DEVISE_FONDS,PORTFOLIO_IK_PASSIF,SECURITY_ISIN,SECURITY_ID,SECURITY_NAME,DEVISE_PART,PORTEFEUILLE_HEDGE,DATE_DAYS,DATE_LIVE,DATE_CLOTURE,FX_RATE_PROFILE,Benchmark1 Code,Benchmark1 Name
Edmond de Rothschild Fund Big Data,EUR,19396,LU1244893852,EDRGDAC LX,EdR Fund Big Data A - CHF,CHF,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19394,LU1244893696,EDRGDAE LX,EdR Fund Big Data A - EUR,EUR,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19395,LU1244893779,EDRGDAU LX,EdR Fund Big Data A - USD,USD,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,45687,LU1380777133,EDRBDBE LX,EdR Fund Big Data B - EUR,EUR,Pas de hedge,2018-03-15 00:00:00.000,2018-03-16 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,45527,LU1781816530,EDRBCRE LX,EdR Fund Big Data CR - EUR,EUR,Pas de hedge,2018-03-16 00:00:00.000,2018-03-17 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,45503,LU1790340936,EDRBCRU LX,EdR Fund Big Data CR - USD,USD,Pas de hedge,2018-03-16 00:00:00.000,2018-03-17 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,45528,LU1781816613,EDRCRDE LX,EdR Fund Big Data CRD - EUR,EUR,Pas de hedge,2018-03-16 00:00:00.000,2018-03-17 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,45504,LU1790341074,EDBCRDU LX,EdR Fund Big Data CRD - USD,USD,Pas de hedge,2018-03-16 00:00:00.000,2018-03-17 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,80398,LU2596456975,EDBDCRM LX,EdR Fund Big Data CRM - EUR,EUR,Pas de hedge,2023-03-21 00:00:00.000,2023-03-22 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19400,LU1244894231,EDRGDIE LX,EdR Fund Big Data I - EUR,EUR,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19401,LU1244894314,EDRGDIU LX,EdR Fund Big Data I - USD,USD,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,49730,LU1904152284,EDRJUSD LX,EdR Fund Big Data J - USD,USD,Pas de hedge,2019-04-23 00:00:00.000,2019-04-24 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19403,LU1244894587,EDRBDKE LX,EdR Fund Big Data K - EUR,EUR,Pas de hedge,2018-11-09 00:00:00.000,2018-11-10 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19406,LU1244894827,EDRGDNE LX,EdR Fund Big Data N - EUR,EUR,Pas de hedge,2015-08-31 00:00:00.000,2015-09-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19407,LU1244895048,EDRGDNU LX,EdR Fund Big Data N - USD,USD,Pas de hedge,2017-03-27 00:00:00.000,2017-03-28 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19408,LU1244895121,EDFBGNC LX,EdR Fund Big Data N CHF,CHF,Pas de hedge,2024-02-29 00:00:00.000,2024-03-01 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA_H,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,52030,LU2053387994,EDRBDNH LX,EdR Fund Big Data N2 - EUR,EUR,Hedge,2020-10-28 00:00:00.000,2020-10-29 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA_H,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,60293,LU2225826366,EDBDPEA LX,EdR Fund Big Data P - EUR,EUR,Pas de hedge,2021-05-25 00:00:00.000,2021-05-26 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,74198,LU2490074718,EDRGDPU LX,EdR Fund Big Data P - USD,USD,Pas de hedge,2022-07-18 00:00:00.000,2022-07-19 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19409,LU1244895394,EDRGDRE LX,EdR Fund Big Data R - EUR,EUR,Pas de hedge,2015-09-23 00:00:00.000,2015-09-24 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Big Data,EUR,19410,LU1244895477,EDRGDRU LX,EdR Fund Big Data R - USD,USD,Pas de hedge,2023-05-23 00:00:00.000,2023-05-24 00:00:00.000,,FIXING 16H,BI_NI_EDRF-G-DATA,100% MSCI World (NR) 
Edmond de Rothschild Fund Emerging Credit,USD,45685,LU1790342049,ERECACH LX,EdR Fund Emerging Credit A - CHF (H),CHF,Hedge,2018-04-03 00:00:00.000,2018-04-04 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_C,100% JPM CEMBI Broad Diversified Composite Index H CHF 
Edmond de Rothschild Fund Emerging Credit,USD,13497,LU1080015693,ERECAAE LX,EdR Fund Emerging Credit A - EUR (H),EUR,Hedge,2014-07-15 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,13500,LU1080015420,ERECAAU LX,EdR Fund Emerging Credit A - USD,USD,Pas de hedge,2009-05-25 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,13498,LU1080015859,ERECBIE LX,EdR Fund Emerging Credit B - EUR (H),EUR,Hedge,2014-07-15 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,13501,LU1080015776,ERECBIU LX,EdR Fund Emerging Credit B - USD,USD,Pas de hedge,2009-05-25 00:00:00.000,2014-07-16 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,45708,LU1234750898,ERECREH LX,EdR Fund Emerging Credit CR - EUR (H),EUR,Hedge,2018-04-03 00:00:00.000,2018-04-04 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_E,100% JPM CEMBI Broad Diversified Composite Index H EUR 
Edmond de Rothschild Fund Emerging Credit,USD,45493,LU1790340423,ERECRUS LX,EdR Fund Emerging Credit CR - USD,USD,Pas de hedge,2019-09-06 00:00:00.000,2019-09-07 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD,100% JPM CEMBI Broad Diversified Composite Index 
Edmond de Rothschild Fund Emerging Credit,USD,48085,LU1790342395,ERECICH LX,EdR Fund Emerging Credit I - CHF (H),CHF,Hedge,2018-08-14 00:00:00.000,2018-08-15 00:00:00.000,,FIXING 16H,BI_NI_EM-CP-BD_C,100% JPM CEMBI Broad Diversified Composite Index H CHF 
