Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,PRICE_DATE,PRICE_TYPE,BASE_CURRENCY,PRICE_CURRENCY,FX_RATE
,,,,,,,,,2024-09-30 00:00:00.000,Fixing 16h,EUR,CHF,0.94145
,,,,,,,,,2024-09-27 00:00:00.000,Fixing 16h,EUR,CHF,0.94125
,,,,,,,,,2024-09-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9464
,,,,,,,,,2024-09-25 00:00:00.000,Fixing 16h,EUR,CHF,0.9484
,,,,,,,,,2024-09-24 00:00:00.000,Fixing 16h,EUR,CHF,0.94325
,,,,,,,,,2024-09-23 00:00:00.000,Fixing 16h,EUR,CHF,0.94385
,,,,,,,,,2024-09-20 00:00:00.000,Fixing 16h,EUR,CHF,0.9476
,,,,,,,,,2024-09-19 00:00:00.000,Fixing 16h,EUR,CHF,0.94405
,,,,,,,,,2024-09-18 00:00:00.000,Fixing 16h,EUR,CHF,0.94045
,,,,,,,,,2024-09-17 00:00:00.000,Fixing 16h,EUR,CHF,0.94175
,,,,,,,,,2024-09-16 00:00:00.000,Fixing 16h,EUR,CHF,0.94025
,,,,,,,,,2024-09-13 00:00:00.000,Fixing 16h,EUR,CHF,0.94015
,,,,,,,,,2024-09-12 00:00:00.000,Fixing 16h,EUR,CHF,0.94275
,,,,,,,,,2024-09-11 00:00:00.000,Fixing 16h,EUR,CHF,0.93415
,,,,,,,,,2024-09-10 00:00:00.000,Fixing 16h,EUR,CHF,0.93405
,,,,,,,,,2024-09-09 00:00:00.000,Fixing 16h,EUR,CHF,0.93595
,,,,,,,,,2024-09-06 00:00:00.000,Fixing 16h,EUR,CHF,0.9364
,,,,,,,,,2024-09-05 00:00:00.000,Fixing 16h,EUR,CHF,0.93985
,,,,,,,,,2024-09-04 00:00:00.000,Fixing 16h,EUR,CHF,0.94005
,,,,,,,,,2024-09-03 00:00:00.000,Fixing 16h,EUR,CHF,0.93855
,,,,,,,,,2024-09-02 00:00:00.000,Fixing 16h,EUR,CHF,0.9421
,,,,,,,,,2024-08-31 00:00:00.000,Fixing 16h,EUR,CHF,0.93915
,,,,,,,,,2024-08-30 00:00:00.000,Fixing 16h,EUR,CHF,0.93915
,,,,,,,,,2024-08-29 00:00:00.000,Fixing 16h,EUR,CHF,0.9394
,,,,,,,,,2024-08-28 00:00:00.000,Fixing 16h,EUR,CHF,0.93715
,,,,,,,,,2024-08-27 00:00:00.000,Fixing 16h,EUR,CHF,0.9411
,,,,,,,,,2024-08-26 00:00:00.000,Fixing 16h,EUR,CHF,0.94625
,,,,,,,,,2024-08-23 00:00:00.000,Fixing 16h,EUR,CHF,0.9487
,,,,,,,,,2024-08-22 00:00:00.000,Fixing 16h,EUR,CHF,0.94725
,,,,,,,,,2024-08-21 00:00:00.000,Fixing 16h,EUR,CHF,0.9494
,,,,,,,,,2024-08-20 00:00:00.000,Fixing 16h,EUR,CHF,0.9525
,,,,,,,,,2024-08-19 00:00:00.000,Fixing 16h,EUR,CHF,0.95555
,,,,,,,,,2024-08-16 00:00:00.000,Fixing 16h,EUR,CHF,0.95445
,,,,,,,,,2024-08-15 00:00:00.000,Fixing 16h,EUR,CHF,0.95675
,,,,,,,,,2024-08-14 00:00:00.000,Fixing 16h,EUR,CHF,0.95285
,,,,,,,,,2024-08-13 00:00:00.000,Fixing 16h,EUR,CHF,0.94815
,,,,,,,,,2024-08-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9491
,,,,,,,,,2024-08-09 00:00:00.000,Fixing 16h,EUR,CHF,0.94465
,,,,,,,,,2024-08-08 00:00:00.000,Fixing 16h,EUR,CHF,0.94335
,,,,,,,,,2024-08-07 00:00:00.000,Fixing 16h,EUR,CHF,0.9459
,,,,,,,,,2024-08-06 00:00:00.000,Fixing 16h,EUR,CHF,0.93215
,,,,,,,,,2024-08-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9321
,,,,,,,,,2024-08-02 00:00:00.000,Fixing 16h,EUR,CHF,0.93845
,,,,,,,,,2024-08-01 00:00:00.000,Fixing 16h,EUR,CHF,0.94335
,,,,,,,,,2024-07-31 00:00:00.000,Fixing 16h,EUR,CHF,0.95255
,,,,,,,,,2024-07-30 00:00:00.000,Fixing 16h,EUR,CHF,0.95725
,,,,,,,,,2024-07-29 00:00:00.000,Fixing 16h,EUR,CHF,0.9587
,,,,,,,,,2024-07-26 00:00:00.000,Fixing 16h,EUR,CHF,0.95865
,,,,,,,,,2024-07-25 00:00:00.000,Fixing 16h,EUR,CHF,0.9551
,,,,,,,,,2024-07-24 00:00:00.000,Fixing 16h,EUR,CHF,0.95935
,,,,,,,,,2024-07-23 00:00:00.000,Fixing 16h,EUR,CHF,0.9678
,,,,,,,,,2024-07-22 00:00:00.000,Fixing 16h,EUR,CHF,0.9681
,,,,,,,,,2024-07-19 00:00:00.000,Fixing 16h,EUR,CHF,0.96765
,,,,,,,,,2024-07-18 00:00:00.000,Fixing 16h,EUR,CHF,0.96505
,,,,,,,,,2024-07-17 00:00:00.000,Fixing 16h,EUR,CHF,0.9689
,,,,,,,,,2024-07-16 00:00:00.000,Fixing 16h,EUR,CHF,0.9748
,,,,,,,,,2024-07-15 00:00:00.000,Fixing 16h,EUR,CHF,0.9772
,,,,,,,,,2024-07-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9756
,,,,,,,,,2024-07-11 00:00:00.000,Fixing 16h,EUR,CHF,0.97235
,,,,,,,,,2024-07-10 00:00:00.000,Fixing 16h,EUR,CHF,0.97355
,,,,,,,,,2024-07-09 00:00:00.000,Fixing 16h,EUR,CHF,0.9709
,,,,,,,,,2024-07-08 00:00:00.000,Fixing 16h,EUR,CHF,0.9719
,,,,,,,,,2024-07-05 00:00:00.000,Fixing 16h,EUR,CHF,0.97195
,,,,,,,,,2024-07-04 00:00:00.000,Fixing 16h,EUR,CHF,0.97275
,,,,,,,,,2024-07-03 00:00:00.000,Fixing 16h,EUR,CHF,0.97365
,,,,,,,,,2024-07-02 00:00:00.000,Fixing 16h,EUR,CHF,0.97035
,,,,,,,,,2024-07-01 00:00:00.000,Fixing 16h,EUR,CHF,0.97
,,,,,,,,,2024-06-28 00:00:00.000,Fixing 16h,EUR,CHF,0.96305
,,,,,,,,,2024-06-27 00:00:00.000,Fixing 16h,EUR,CHF,0.9609
,,,,,,,,,2024-06-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9583
,,,,,,,,,2024-06-25 00:00:00.000,Fixing 16h,EUR,CHF,0.95715
,,,,,,,,,2024-06-24 00:00:00.000,Fixing 16h,EUR,CHF,0.95915
,,,,,,,,,2024-06-21 00:00:00.000,Fixing 16h,EUR,CHF,0.95445
,,,,,,,,,2024-06-20 00:00:00.000,Fixing 16h,EUR,CHF,0.95465
,,,,,,,,,2024-06-19 00:00:00.000,Fixing 16h,EUR,CHF,0.9505
,,,,,,,,,2024-06-18 00:00:00.000,Fixing 16h,EUR,CHF,0.95
,,,,,,,,,2024-06-17 00:00:00.000,Fixing 16h,EUR,CHF,0.9561
,,,,,,,,,2024-06-14 00:00:00.000,Fixing 16h,EUR,CHF,0.9517
,,,,,,,,,2024-06-13 00:00:00.000,Fixing 16h,EUR,CHF,0.96325
,,,,,,,,,2024-06-12 00:00:00.000,Fixing 16h,EUR,CHF,0.96645
,,,,,,,,,2024-06-11 00:00:00.000,Fixing 16h,EUR,CHF,0.96425
,,,,,,,,,2024-06-10 00:00:00.000,Fixing 16h,EUR,CHF,0.9631
,,,,,,,,,2024-06-07 00:00:00.000,Fixing 16h,EUR,CHF,0.9694
,,,,,,,,,2024-06-06 00:00:00.000,Fixing 16h,EUR,CHF,0.9704
,,,,,,,,,2024-06-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9721
,,,,,,,,,2024-06-04 00:00:00.000,Fixing 16h,EUR,CHF,0.9687
,,,,,,,,,2024-06-03 00:00:00.000,Fixing 16h,EUR,CHF,0.97475
,,,,,,,,,2024-05-31 00:00:00.000,Fixing 16h,EUR,CHF,0.97935
,,,,,,,,,2024-05-30 00:00:00.000,Fixing 16h,EUR,CHF,0.97975
,,,,,,,,,2024-05-29 00:00:00.000,Fixing 16h,EUR,CHF,0.98745
,,,,,,,,,2024-05-28 00:00:00.000,Fixing 16h,EUR,CHF,0.9897
,,,,,,,,,2024-05-27 00:00:00.000,Fixing 16h,EUR,CHF,0.9922
,,,,,,,,,2024-05-24 00:00:00.000,Fixing 16h,EUR,CHF,0.99195
,,,,,,,,,2024-05-23 00:00:00.000,Fixing 16h,EUR,CHF,0.9892
,,,,,,,,,2024-05-22 00:00:00.000,Fixing 16h,EUR,CHF,0.99075
,,,,,,,,,2024-05-21 00:00:00.000,Fixing 16h,EUR,CHF,0.98735
,,,,,,,,,2024-05-20 00:00:00.000,Fixing 16h,EUR,CHF,0.98755
,,,,,,,,,2024-05-17 00:00:00.000,Fixing 16h,EUR,CHF,0.98655
,,,,,,,,,2024-05-16 00:00:00.000,Fixing 16h,EUR,CHF,0.98315
,,,,,,,,,2024-05-15 00:00:00.000,Fixing 16h,EUR,CHF,0.98235
,,,,,,,,,2024-05-14 00:00:00.000,Fixing 16h,EUR,CHF,0.981
,,,,,,,,,2024-05-13 00:00:00.000,Fixing 16h,EUR,CHF,0.9791
,,,,,,,,,2024-05-10 00:00:00.000,Fixing 16h,EUR,CHF,0.9768
,,,,,,,,,2024-05-09 00:00:00.000,Fixing 16h,EUR,CHF,0.9772
,,,,,,,,,2024-05-08 00:00:00.000,Fixing 16h,EUR,CHF,0.9761
,,,,,,,,,2024-05-07 00:00:00.000,Fixing 16h,EUR,CHF,0.97745
,,,,,,,,,2024-05-06 00:00:00.000,Fixing 16h,EUR,CHF,0.9757
,,,,,,,,,2024-05-03 00:00:00.000,Fixing 16h,EUR,CHF,0.9742
,,,,,,,,,2024-05-02 00:00:00.000,Fixing 16h,EUR,CHF,0.97635
,,,,,,,,,2024-05-01 00:00:00.000,Fixing 16h,EUR,CHF,0.9822
,,,,,,,,,2024-04-30 00:00:00.000,Fixing 16h,EUR,CHF,0.9807
,,,,,,,,,2024-04-29 00:00:00.000,Fixing 16h,EUR,CHF,0.9756
,,,,,,,,,2024-04-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9767
,,,,,,,,,2024-04-25 00:00:00.000,Fixing 16h,EUR,CHF,0.97875
,,,,,,,,,2024-04-24 00:00:00.000,Fixing 16h,EUR,CHF,0.9768
,,,,,,,,,2024-04-23 00:00:00.000,Fixing 16h,EUR,CHF,0.974
,,,,,,,,,2024-04-22 00:00:00.000,Fixing 16h,EUR,CHF,0.97005
,,,,,,,,,2024-04-19 00:00:00.000,Fixing 16h,EUR,CHF,0.97025
,,,,,,,,,2024-04-18 00:00:00.000,Fixing 16h,EUR,CHF,0.97185
,,,,,,,,,2024-04-17 00:00:00.000,Fixing 16h,EUR,CHF,0.9711
,,,,,,,,,2024-04-16 00:00:00.000,Fixing 16h,EUR,CHF,0.9705
,,,,,,,,,2024-04-15 00:00:00.000,Fixing 16h,EUR,CHF,0.97135
,,,,,,,,,2024-04-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9683
,,,,,,,,,2024-04-11 00:00:00.000,Fixing 16h,EUR,CHF,0.97555
,,,,,,,,,2024-04-10 00:00:00.000,Fixing 16h,EUR,CHF,0.98065
,,,,,,,,,2024-04-09 00:00:00.000,Fixing 16h,EUR,CHF,0.98105
,,,,,,,,,2024-04-08 00:00:00.000,Fixing 16h,EUR,CHF,0.98215
,,,,,,,,,2024-04-05 00:00:00.000,Fixing 16h,EUR,CHF,0.97575
,,,,,,,,,2024-04-04 00:00:00.000,Fixing 16h,EUR,CHF,0.9832
,,,,,,,,,2024-04-03 00:00:00.000,Fixing 16h,EUR,CHF,0.9804
,,,,,,,,,2024-04-02 00:00:00.000,Fixing 16h,EUR,CHF,0.97565
,,,,,,,,,2024-04-01 00:00:00.000,Fixing 16h,EUR,CHF,0.9722
,,,,,,,,,2024-03-31 00:00:00.000,Fixing 16h,EUR,CHF,0.972756
,,,,,,,,,2024-03-29 00:00:00.000,Fixing 16h,EUR,CHF,0.972756
,,,,,,,,,2024-03-28 00:00:00.000,Fixing 16h,EUR,CHF,0.97275
,,,,,,,,,2024-03-27 00:00:00.000,Fixing 16h,EUR,CHF,0.98
,,,,,,,,,2024-03-26 00:00:00.000,Fixing 16h,EUR,CHF,0.97765
,,,,,,,,,2024-03-25 00:00:00.000,Fixing 16h,EUR,CHF,0.9735
