PRICE_DATE_FULL,PRICE,PRICE_CURRENCY
1994-12-30 00:00:00.000,100.0,USD
1995-01-02 00:00:00.000,100.035,USD
1995-01-03 00:00:00.000,99.967,USD
1995-01-04 00:00:00.000,100.194,USD
1995-01-05 00:00:00.000,100.073,USD
1995-01-06 00:00:00.000,100.101,USD
1995-01-09 00:00:00.000,100.082,USD
1995-01-10 00:00:00.000,100.233,USD
1995-01-11 00:00:00.000,100.425,USD
1995-01-12 00:00:00.000,100.449,USD
1995-01-13 00:00:00.000,100.955,USD
1995-01-16 00:00:00.000,100.976,USD
1995-01-17 00:00:00.000,100.922,USD
1995-01-18 00:00:00.000,100.84,USD
1995-01-19 00:00:00.000,100.797,USD
1995-01-20 00:00:00.000,100.661,USD
1995-01-23 00:00:00.000,100.72,USD
1995-01-24 00:00:00.000,100.675,USD
1995-01-25 00:00:00.000,100.909,USD
1995-01-26 00:00:00.000,101.121,USD
1995-01-27 00:00:00.000,101.538,USD
1995-01-30 00:00:00.000,101.614,USD
1995-01-31 00:00:00.000,101.701,USD
1995-02-01 00:00:00.000,101.469,USD
1995-02-02 00:00:00.000,101.462,USD
1995-02-03 00:00:00.000,102.05,USD
1995-02-06 00:00:00.000,101.966,USD
1995-02-07 00:00:00.000,102.067,USD
1995-02-08 00:00:00.000,102.133,USD
1995-02-09 00:00:00.000,101.941,USD
1995-02-10 00:00:00.000,101.83,USD
1995-02-13 00:00:00.000,101.91,USD
1995-02-14 00:00:00.000,102.284,USD
1995-02-15 00:00:00.000,102.503,USD
1995-02-16 00:00:00.000,102.664,USD
1995-02-17 00:00:00.000,102.668,USD
1995-02-20 00:00:00.000,102.653,USD
1995-02-21 00:00:00.000,102.647,USD
1995-02-22 00:00:00.000,103.127,USD
1995-02-23 00:00:00.000,103.222,USD
1995-02-24 00:00:00.000,103.285,USD
1995-02-27 00:00:00.000,103.645,USD
1995-02-28 00:00:00.000,103.657,USD
1995-03-01 00:00:00.000,103.606,USD
1995-03-02 00:00:00.000,103.437,USD
1995-03-03 00:00:00.000,103.318,USD
1995-03-06 00:00:00.000,103.153,USD
1995-03-07 00:00:00.000,103.143,USD
1995-03-08 00:00:00.000,103.421,USD
1995-03-09 00:00:00.000,103.655,USD
1995-03-10 00:00:00.000,103.773,USD
1995-03-13 00:00:00.000,103.99,USD
1995-03-14 00:00:00.000,104.221,USD
1995-03-15 00:00:00.000,104.274,USD
1995-03-16 00:00:00.000,104.3,USD
1995-03-17 00:00:00.000,104.257,USD
1995-03-20 00:00:00.000,104.295,USD
1995-03-21 00:00:00.000,104.123,USD
1995-03-22 00:00:00.000,104.143,USD
1995-03-23 00:00:00.000,104.2,USD
1995-03-24 00:00:00.000,104.525,USD
1995-03-27 00:00:00.000,104.681,USD
1995-03-28 00:00:00.000,104.382,USD
1995-03-29 00:00:00.000,104.451,USD
1995-03-30 00:00:00.000,104.341,USD
1995-03-31 00:00:00.000,104.208,USD
1995-04-03 00:00:00.000,104.507,USD
1995-04-04 00:00:00.000,104.605,USD
1995-04-05 00:00:00.000,104.676,USD
1995-04-06 00:00:00.000,104.815,USD
1995-04-07 00:00:00.000,104.774,USD
1995-04-10 00:00:00.000,104.799,USD
1995-04-11 00:00:00.000,104.916,USD
1995-04-12 00:00:00.000,105.034,USD
1995-04-13 00:00:00.000,105.261,USD
1995-04-14 00:00:00.000,105.276,USD
1995-04-17 00:00:00.000,105.384,USD
1995-04-18 00:00:00.000,105.472,USD
1995-04-19 00:00:00.000,105.416,USD
1995-04-20 00:00:00.000,105.569,USD
1995-04-21 00:00:00.000,105.583,USD
1995-04-24 00:00:00.000,105.63,USD
1995-04-25 00:00:00.000,105.601,USD
1995-04-26 00:00:00.000,105.562,USD
1995-04-27 00:00:00.000,105.448,USD
1995-04-28 00:00:00.000,105.37,USD
1995-05-01 00:00:00.000,105.428,USD
1995-05-02 00:00:00.000,105.632,USD
1995-05-03 00:00:00.000,105.976,USD
1995-05-04 00:00:00.000,106.177,USD
1995-05-05 00:00:00.000,106.786,USD
1995-05-08 00:00:00.000,106.791,USD
1995-05-09 00:00:00.000,107.124,USD
1995-05-10 00:00:00.000,106.946,USD
1995-05-11 00:00:00.000,106.878,USD
1995-05-12 00:00:00.000,106.88,USD
1995-05-15 00:00:00.000,107.101,USD
1995-05-16 00:00:00.000,107.297,USD
1995-05-17 00:00:00.000,107.292,USD
1995-05-18 00:00:00.000,107.179,USD
1995-05-19 00:00:00.000,107.047,USD
1995-05-22 00:00:00.000,107.049,USD
1995-05-23 00:00:00.000,107.347,USD
1995-05-24 00:00:00.000,107.846,USD
1995-05-25 00:00:00.000,107.939,USD
1995-05-26 00:00:00.000,107.934,USD
1995-05-29 00:00:00.000,107.991,USD
1995-05-30 00:00:00.000,108.376,USD
1995-05-31 00:00:00.000,108.377,USD
1995-06-01 00:00:00.000,108.791,USD
1995-06-02 00:00:00.000,109.278,USD
1995-06-05 00:00:00.000,109.35,USD
1995-06-06 00:00:00.000,109.197,USD
1995-06-07 00:00:00.000,108.725,USD
1995-06-08 00:00:00.000,108.482,USD
1995-06-09 00:00:00.000,108.066,USD
1995-06-12 00:00:00.000,108.304,USD
1995-06-13 00:00:00.000,109.216,USD
1995-06-14 00:00:00.000,109.106,USD
1995-06-15 00:00:00.000,109.011,USD
1995-06-16 00:00:00.000,108.941,USD
1995-06-19 00:00:00.000,109.181,USD
1995-06-20 00:00:00.000,109.087,USD
1995-06-21 00:00:00.000,109.329,USD
1995-06-22 00:00:00.000,109.573,USD
1995-06-23 00:00:00.000,109.525,USD
1995-06-26 00:00:00.000,109.298,USD
1995-06-27 00:00:00.000,109.254,USD
1995-06-28 00:00:00.000,109.444,USD
1995-06-29 00:00:00.000,108.915,USD
1995-06-30 00:00:00.000,109.087,USD
1995-07-03 00:00:00.000,109.158,USD
1995-07-04 00:00:00.000,109.162,USD
1995-07-05 00:00:00.000,109.242,USD
1995-07-06 00:00:00.000,109.945,USD
1995-07-07 00:00:00.000,109.938,USD
1995-07-10 00:00:00.000,109.974,USD
1995-07-11 00:00:00.000,109.725,USD
1995-07-12 00:00:00.000,109.845,USD
1995-07-13 00:00:00.000,109.84,USD
1995-07-14 00:00:00.000,109.567,USD
1995-07-17 00:00:00.000,109.408,USD
1995-07-18 00:00:00.000,109.224,USD
1995-07-19 00:00:00.000,108.919,USD
1995-07-20 00:00:00.000,108.902,USD
1995-07-21 00:00:00.000,108.577,USD
1995-07-24 00:00:00.000,108.835,USD
1995-07-25 00:00:00.000,108.921,USD
1995-07-26 00:00:00.000,108.799,USD
1995-07-27 00:00:00.000,109.041,USD
1995-07-28 00:00:00.000,108.901,USD
1995-07-31 00:00:00.000,109.157,USD
1995-08-01 00:00:00.000,109.017,USD
1995-08-02 00:00:00.000,109.189,USD
1995-08-03 00:00:00.000,108.932,USD
1995-08-04 00:00:00.000,109.047,USD
1995-08-07 00:00:00.000,109.206,USD
1995-08-08 00:00:00.000,109.243,USD
1995-08-09 00:00:00.000,109.16,USD
1995-08-10 00:00:00.000,109.079,USD
1995-08-11 00:00:00.000,108.705,USD
1995-08-14 00:00:00.000,108.852,USD
1995-08-15 00:00:00.000,108.867,USD
1995-08-16 00:00:00.000,108.93,USD
1995-08-17 00:00:00.000,108.814,USD
1995-08-18 00:00:00.000,108.869,USD
1995-08-21 00:00:00.000,109.041,USD
1995-08-22 00:00:00.000,108.972,USD
1995-08-23 00:00:00.000,108.938,USD
1995-08-24 00:00:00.000,109.357,USD
1995-08-25 00:00:00.000,109.756,USD
1995-08-28 00:00:00.000,109.851,USD
1995-08-29 00:00:00.000,109.737,USD
1995-08-30 00:00:00.000,109.869,USD
1995-08-31 00:00:00.000,109.982,USD
1995-09-01 00:00:00.000,110.187,USD
1995-09-04 00:00:00.000,110.247,USD
1995-09-05 00:00:00.000,110.381,USD
1995-09-06 00:00:00.000,110.402,USD
1995-09-07 00:00:00.000,110.234,USD
1995-09-08 00:00:00.000,110.258,USD
1995-09-11 00:00:00.000,110.301,USD
1995-09-12 00:00:00.000,110.531,USD
1995-09-13 00:00:00.000,110.442,USD
1995-09-14 00:00:00.000,110.806,USD
1995-09-15 00:00:00.000,110.672,USD
1995-09-18 00:00:00.000,110.571,USD
1995-09-19 00:00:00.000,110.725,USD
1995-09-20 00:00:00.000,110.838,USD
1995-09-21 00:00:00.000,110.508,USD
1995-09-22 00:00:00.000,110.419,USD
1995-09-25 00:00:00.000,110.41,USD
1995-09-26 00:00:00.000,110.35,USD
1995-09-27 00:00:00.000,110.357,USD
1995-09-28 00:00:00.000,110.329,USD
1995-09-29 00:00:00.000,110.591,USD
1995-10-02 00:00:00.000,110.8,USD
1995-10-03 00:00:00.000,110.931,USD
1995-10-04 00:00:00.000,111.079,USD
1995-10-05 00:00:00.000,111.167,USD
1995-10-06 00:00:00.000,111.156,USD
1995-10-09 00:00:00.000,111.238,USD
1995-10-10 00:00:00.000,111.149,USD
1995-10-11 00:00:00.000,111.216,USD
1995-10-12 00:00:00.000,111.365,USD
1995-10-13 00:00:00.000,111.597,USD
1995-10-16 00:00:00.000,111.692,USD
1995-10-17 00:00:00.000,111.759,USD
1995-10-18 00:00:00.000,111.609,USD
1995-10-19 00:00:00.000,111.691,USD
1995-10-20 00:00:00.000,111.483,USD
1995-10-23 00:00:00.000,111.418,USD
1995-10-24 00:00:00.000,111.698,USD
1995-10-25 00:00:00.000,111.827,USD
1995-10-26 00:00:00.000,111.699,USD
1995-10-27 00:00:00.000,111.789,USD
1995-10-30 00:00:00.000,111.896,USD
1995-10-31 00:00:00.000,111.929,USD
1995-11-01 00:00:00.000,112.168,USD
1995-11-02 00:00:00.000,112.469,USD
1995-11-03 00:00:00.000,112.354,USD
1995-11-06 00:00:00.000,112.298,USD
1995-11-07 00:00:00.000,112.197,USD
1995-11-08 00:00:00.000,112.46,USD
1995-11-09 00:00:00.000,112.385,USD
1995-11-10 00:00:00.000,112.289,USD
1995-11-13 00:00:00.000,112.488,USD
1995-11-14 00:00:00.000,112.559,USD
1995-11-15 00:00:00.000,112.435,USD
1995-11-16 00:00:00.000,112.667,USD
1995-11-17 00:00:00.000,112.714,USD
1995-11-20 00:00:00.000,112.702,USD
1995-11-21 00:00:00.000,112.65,USD
1995-11-22 00:00:00.000,112.599,USD
1995-11-23 00:00:00.000,112.623,USD
1995-11-24 00:00:00.000,112.722,USD
1995-11-27 00:00:00.000,112.877,USD
1995-11-28 00:00:00.000,112.9,USD
1995-11-29 00:00:00.000,113.088,USD
1995-11-30 00:00:00.000,113.343,USD
1995-12-01 00:00:00.000,113.475,USD
1995-12-04 00:00:00.000,113.719,USD
1995-12-05 00:00:00.000,113.614,USD
1995-12-06 00:00:00.000,113.6,USD
1995-12-07 00:00:00.000,113.416,USD
1995-12-08 00:00:00.000,113.449,USD
1995-12-11 00:00:00.000,113.578,USD
1995-12-12 00:00:00.000,113.543,USD
1995-12-13 00:00:00.000,113.489,USD
1995-12-14 00:00:00.000,113.532,USD
1995-12-15 00:00:00.000,113.553,USD
1995-12-18 00:00:00.000,113.613,USD
1995-12-19 00:00:00.000,114.074,USD
1995-12-20 00:00:00.000,114.005,USD
1995-12-21 00:00:00.000,114.066,USD
1995-12-22 00:00:00.000,114.186,USD
1995-12-25 00:00:00.000,114.218,USD
1995-12-26 00:00:00.000,114.343,USD
1995-12-27 00:00:00.000,114.473,USD
1995-12-28 00:00:00.000,114.603,USD
1995-12-29 00:00:00.000,114.765,USD
1996-01-01 00:00:00.000,114.817,USD
1996-01-02 00:00:00.000,114.789,USD
1996-01-03 00:00:00.000,114.895,USD
1996-01-04 00:00:00.000,114.709,USD
1996-01-05 00:00:00.000,114.699,USD
1996-01-08 00:00:00.000,114.727,USD
1996-01-09 00:00:00.000,114.599,USD
1996-01-10 00:00:00.000,114.427,USD
1996-01-11 00:00:00.000,114.647,USD
1996-01-12 00:00:00.000,114.667,USD
1996-01-15 00:00:00.000,114.701,USD
1996-01-16 00:00:00.000,115.117,USD
1996-01-17 00:00:00.000,115.232,USD
1996-01-18 00:00:00.000,115.424,USD
1996-01-19 00:00:00.000,115.38,USD
1996-01-22 00:00:00.000,115.176,USD
1996-01-23 00:00:00.000,115.109,USD
1996-01-24 00:00:00.000,115.27,USD
1996-01-25 00:00:00.000,115.032,USD
1996-01-26 00:00:00.000,115.27,USD
1996-01-29 00:00:00.000,115.18,USD
1996-01-30 00:00:00.000,115.469,USD
1996-01-31 00:00:00.000,115.711,USD
1996-02-01 00:00:00.000,115.731,USD
1996-02-02 00:00:00.000,115.751,USD
1996-02-05 00:00:00.000,115.709,USD
1996-02-06 00:00:00.000,115.834,USD
1996-02-07 00:00:00.000,115.827,USD
