Bloomberg Code,Quote Date,Quote Close,Currency
USGG10YR Index,1993-01-01,6.686,USD
USGG10YR Index,1993-01-04,6.575,USD
USGG10YR Index,1993-01-05,6.575,USD
USGG10YR Index,1993-01-06,6.625,USD
USGG10YR Index,1993-01-07,6.743,USD
USGG10YR Index,1993-01-08,6.731,USD
USGG10YR Index,1993-01-11,6.668,USD
USGG10YR Index,1993-01-12,6.702,USD
USGG10YR Index,1993-01-13,6.68,USD
USGG10YR Index,1993-01-14,6.619,USD
USGG10YR Index,1993-01-15,6.585,USD
USGG10YR Index,1993-01-18,6.594,USD
USGG10YR Index,1993-01-19,6.57,USD
USGG10YR Index,1993-01-20,6.597,USD
USGG10YR Index,1993-01-21,6.572,USD
USGG10YR Index,1993-01-22,6.539,USD
USGG10YR Index,1993-01-25,6.438,USD
USGG10YR Index,1993-01-26,6.487,USD
USGG10YR Index,1993-01-27,6.461,USD
USGG10YR Index,1993-01-28,6.392,USD
USGG10YR Index,1993-01-29,6.359,USD
USGG10YR Index,1993-02-01,6.37,USD
USGG10YR Index,1993-02-02,6.432,USD
USGG10YR Index,1993-02-03,6.41,USD
USGG10YR Index,1993-02-04,6.374,USD
USGG10YR Index,1993-02-05,6.306,USD
USGG10YR Index,1993-02-08,6.363,USD
USGG10YR Index,1993-02-09,6.388,USD
USGG10YR Index,1993-02-10,6.457,USD
USGG10YR Index,1993-02-11,6.365,USD
USGG10YR Index,1993-02-12,6.331,USD
USGG10YR Index,1993-02-15,6.324,USD
USGG10YR Index,1993-02-16,6.335,USD
USGG10YR Index,1993-02-17,6.275,USD
USGG10YR Index,1993-02-18,6.148,USD
USGG10YR Index,1993-02-19,6.152,USD
USGG10YR Index,1993-02-22,6.072,USD
USGG10YR Index,1993-02-23,5.9,USD
USGG10YR Index,1993-02-24,6.026,USD
USGG10YR Index,1993-02-25,6.028,USD
USGG10YR Index,1993-02-26,6.02,USD
USGG10YR Index,1993-03-01,5.951,USD
USGG10YR Index,1993-03-02,5.934,USD
USGG10YR Index,1993-03-03,5.88,USD
USGG10YR Index,1993-03-04,5.825,USD
USGG10YR Index,1993-03-05,5.862,USD
USGG10YR Index,1993-03-08,5.851,USD
USGG10YR Index,1993-03-09,5.911,USD
USGG10YR Index,1993-03-10,5.956,USD
USGG10YR Index,1993-03-11,5.992,USD
USGG10YR Index,1993-03-12,6.113,USD
USGG10YR Index,1993-03-15,6.134,USD
USGG10YR Index,1993-03-16,6.063,USD
USGG10YR Index,1993-03-17,6.002,USD
USGG10YR Index,1993-03-18,5.887,USD
USGG10YR Index,1993-03-19,5.962,USD
USGG10YR Index,1993-03-22,5.935,USD
USGG10YR Index,1993-03-23,5.908,USD
USGG10YR Index,1993-03-24,5.962,USD
USGG10YR Index,1993-03-25,5.982,USD
USGG10YR Index,1993-03-26,6.091,USD
USGG10YR Index,1993-03-29,6.028,USD
USGG10YR Index,1993-03-30,6.015,USD
USGG10YR Index,1993-03-31,6.024,USD
USGG10YR Index,1993-04-01,6.051,USD
USGG10YR Index,1993-04-02,6.155,USD
USGG10YR Index,1993-04-05,6.112,USD
USGG10YR Index,1993-04-06,6.07,USD
USGG10YR Index,1993-04-07,6.061,USD
USGG10YR Index,1993-04-08,5.96,USD
USGG10YR Index,1993-04-09,5.964,USD
USGG10YR Index,1993-04-12,5.914,USD
USGG10YR Index,1993-04-13,5.914,USD
USGG10YR Index,1993-04-14,5.887,USD
USGG10YR Index,1993-04-15,5.868,USD
USGG10YR Index,1993-04-16,5.884,USD
USGG10YR Index,1993-04-19,5.857,USD
USGG10YR Index,1993-04-20,5.864,USD
USGG10YR Index,1993-04-21,5.851,USD
USGG10YR Index,1993-04-22,5.853,USD
USGG10YR Index,1993-04-23,5.888,USD
USGG10YR Index,1993-04-26,5.947,USD
USGG10YR Index,1993-04-27,6.029,USD
USGG10YR Index,1993-04-28,6.029,USD
USGG10YR Index,1993-04-29,5.967,USD
USGG10YR Index,1993-04-30,6.009,USD
USGG10YR Index,1993-05-03,5.944,USD
USGG10YR Index,1993-05-04,5.898,USD
USGG10YR Index,1993-05-05,5.881,USD
USGG10YR Index,1993-05-06,5.87,USD
USGG10YR Index,1993-05-07,5.897,USD
USGG10YR Index,1993-05-10,5.876,USD
USGG10YR Index,1993-05-11,5.872,USD
USGG10YR Index,1993-05-12,5.918,USD
USGG10YR Index,1993-05-13,6.009,USD
USGG10YR Index,1993-05-14,6.015,USD
USGG10YR Index,1993-05-17,6.049,USD
USGG10YR Index,1993-05-18,6.123,USD
USGG10YR Index,1993-05-19,6.066,USD
USGG10YR Index,1993-05-20,6.085,USD
USGG10YR Index,1993-05-21,6.138,USD
USGG10YR Index,1993-05-24,6.17,USD
USGG10YR Index,1993-05-25,6.164,USD
USGG10YR Index,1993-05-26,6.078,USD
USGG10YR Index,1993-05-27,6.104,USD
USGG10YR Index,1993-05-28,6.149,USD
USGG10YR Index,1993-05-31,6.149,USD
USGG10YR Index,1993-06-01,6.05,USD
USGG10YR Index,1993-06-02,6.031,USD
USGG10YR Index,1993-06-03,6.003,USD
USGG10YR Index,1993-06-04,6.089,USD
USGG10YR Index,1993-06-07,6.056,USD
USGG10YR Index,1993-06-08,6.089,USD
USGG10YR Index,1993-06-09,6.054,USD
USGG10YR Index,1993-06-10,6.048,USD
USGG10YR Index,1993-06-11,5.963,USD
USGG10YR Index,1993-06-14,5.965,USD
USGG10YR Index,1993-06-15,5.939,USD
USGG10YR Index,1993-06-16,5.929,USD
USGG10YR Index,1993-06-17,5.926,USD
USGG10YR Index,1993-06-18,5.937,USD
USGG10YR Index,1993-06-21,5.905,USD
USGG10YR Index,1993-06-22,5.886,USD
USGG10YR Index,1993-06-23,5.88,USD
USGG10YR Index,1993-06-24,5.854,USD
USGG10YR Index,1993-06-25,5.81,USD
USGG10YR Index,1993-06-28,5.776,USD
USGG10YR Index,1993-06-29,5.761,USD
USGG10YR Index,1993-06-30,5.776,USD
USGG10YR Index,1993-07-01,5.78,USD
USGG10YR Index,1993-07-02,5.744,USD
USGG10YR Index,1993-07-05,5.748,USD
USGG10YR Index,1993-07-06,5.78,USD
USGG10YR Index,1993-07-07,5.778,USD
USGG10YR Index,1993-07-08,5.752,USD
USGG10YR Index,1993-07-09,5.737,USD
USGG10YR Index,1993-07-12,5.729,USD
USGG10YR Index,1993-07-13,5.744,USD
USGG10YR Index,1993-07-14,5.706,USD
USGG10YR Index,1993-07-15,5.706,USD
USGG10YR Index,1993-07-16,5.687,USD
USGG10YR Index,1993-07-19,5.689,USD
USGG10YR Index,1993-07-20,5.732,USD
USGG10YR Index,1993-07-21,5.831,USD
USGG10YR Index,1993-07-22,5.888,USD
USGG10YR Index,1993-07-23,5.931,USD
USGG10YR Index,1993-07-26,5.899,USD
USGG10YR Index,1993-07-27,5.895,USD
USGG10YR Index,1993-07-28,5.875,USD
USGG10YR Index,1993-07-29,5.784,USD
USGG10YR Index,1993-07-30,5.807,USD
USGG10YR Index,1993-08-02,5.831,USD
